t,tube_x,tube_y,string_x,string_y,arm1_x,arm1_y,arm2_x,arm2_y
2.996296E0,7.122058E0,8.565846E0,3.505562E1,6.621672E0,4.091448E1,3.188117E0,5.442080E1,1.045427E1
3.029588E0,7.129627E0,8.571150E0,3.506505E1,6.621673E0,4.091632E1,3.188680E0,5.442040E1,1.045306E1
3.062881E0,7.128231E0,8.572633E0,3.505853E1,6.621608E0,4.091595E1,3.186992E0,5.442340E1,1.045056E1
3.096173E0,7.125924E0,8.570998E0,3.505798E1,6.621233E0,4.091704E1,3.185138E0,5.442995E1,1.044195E1
3.129465E0,7.124383E0,8.569693E0,3.505707E1,6.621213E0,4.091779E1,3.184223E0,5.443483E1,1.043557E1
3.162757E0,7.129664E0,8.572797E0,3.505730E1,6.621255E0,4.091961E1,3.180969E0,5.445255E1,1.043415E1
3.196049E0,7.127209E0,8.571212E0,3.505135E1,6.620792E0,4.091608E1,3.181942E0,5.445671E1,1.044086E1
3.229342E0,7.130463E0,8.572459E0,3.504942E1,6.621018E0,4.091628E1,3.184278E0,5.445918E1,1.044605E1
3.262634E0,7.134177E0,8.573845E0,3.504780E1,6.621235E0,4.091687E1,3.186749E0,5.447087E1,1.042925E1
3.295926E0,7.132438E0,8.574456E0,3.505291E1,6.619919E0,4.092068E1,3.180280E0,5.448619E1,1.041098E1
3.329218E0,7.129518E0,8.573393E0,3.505107E1,6.619786E0,4.092387E1,3.177653E0,5.448574E1,1.039842E1
3.362510E0,7.125993E0,8.571707E0,3.504988E1,6.618601E0,4.091973E1,3.178739E0,5.448514E1,1.039497E1
3.395802E0,7.125425E0,8.570544E0,3.504883E1,6.617806E0,4.091690E1,3.179816E0,5.448592E1,1.039184E1
3.429095E0,7.122337E0,8.569841E0,3.504837E1,6.616461E0,4.091707E1,3.177481E0,5.448983E1,1.038056E1
3.462387E0,7.122597E0,8.569457E0,3.504781E1,6.617082E0,4.091741E1,3.176270E0,5.450638E1,1.035862E1
3.495679E0,7.121578E0,8.568871E0,3.504694E1,6.615721E0,4.092003E1,3.174319E0,5.450520E1,1.034325E1
3.528971E0,7.121516E0,8.568619E0,3.504609E1,6.614743E0,4.091888E1,3.173932E0,5.450334E1,1.033552E1
3.562263E0,7.131177E0,8.579704E0,3.504818E1,6.615306E0,4.091896E1,3.174569E0,5.449994E1,1.033289E1
3.595556E0,7.128515E0,8.576925E0,3.504976E1,6.616224E0,4.091775E1,3.174463E0,5.449702E1,1.032824E1
3.628848E0,7.126882E0,8.574588E0,3.504792E1,6.616177E0,4.091867E1,3.174636E0,5.450929E1,1.030795E1
3.662140E0,7.123435E0,8.571887E0,3.504617E1,6.616173E0,4.091882E1,3.174894E0,5.452300E1,1.030759E1
3.695432E0,7.122997E0,8.571450E0,3.504738E1,6.616763E0,4.092115E1,3.177055E0,5.453088E1,1.030586E1
3.728724E0,7.121983E0,8.570804E0,3.504303E1,6.616734E0,4.091908E1,3.177940E0,5.453749E1,1.030441E1
3.762016E0,7.122088E0,8.570194E0,3.504225E1,6.616715E0,4.092075E1,3.178546E0,5.453850E1,1.030655E1
3.795309E0,7.121323E0,8.569803E0,3.504155E1,6.616710E0,4.091844E1,3.178940E0,5.454699E1,1.029866E1
3.828601E0,7.121596E0,8.573634E0,3.504381E1,6.616589E0,4.091933E1,3.174205E0,5.455433E1,1.028740E1
3.861893E0,7.123982E0,8.575580E0,3.504570E1,6.616805E0,4.092001E1,3.173256E0,5.455928E1,1.027992E1
3.895185E0,7.122841E0,8.573863E0,3.504301E1,6.616974E0,4.092226E1,3.175708E0,5.455775E1,1.028830E1
3.928477E0,7.121804E0,8.572559E0,3.504090E1,6.616604E0,4.092219E1,3.177772E0,5.455433E1,1.029456E1
3.961770E0,7.121326E0,8.572491E0,3.504422E1,6.615899E0,4.092384E1,3.180097E0,5.455431E1,1.029596E1
3.995062E0,7.121967E0,8.572149E0,3.504712E1,6.616540E0,4.092144E1,3.176740E0,5.458419E1,1.025181E1
4.028354E0,7.124872E0,8.571618E0,3.504864E1,6.615469E0,4.092306E1,3.169043E0,5.460226E1,1.023170E1
4.061646E0,7.122959E0,8.571264E0,3.504848E1,6.615367E0,4.092377E1,3.172888E0,5.460741E1,1.023392E1
4.094938E0,7.123114E0,8.571279E0,3.504788E1,6.615342E0,4.092303E1,3.176150E0,5.461147E1,1.023606E1
4.128230E0,7.122349E0,8.570577E0,3.504393E1,6.615348E0,4.092209E1,3.176840E0,5.461308E1,1.023751E1
4.161523E0,7.121704E0,8.570077E0,3.504142E1,6.615184E0,4.092013E1,3.177602E0,5.461493E1,1.023804E1
4.194815E0,7.120491E0,8.570724E0,3.504282E1,6.615579E0,4.091949E1,3.178453E0,5.461682E1,1.023830E1
4.228107E0,7.121659E0,8.571434E0,3.504369E1,6.616143E0,4.092445E1,3.172655E0,5.461877E1,1.021456E1
4.261399E0,7.120017E0,8.571869E0,3.504557E1,6.615771E0,4.092296E1,3.173713E0,5.463473E1,1.020410E1
4.294691E0,7.120379E0,8.571898E0,3.504225E1,6.615485E0,4.092204E1,3.175848E0,5.463511E1,1.020550E1
4.327984E0,7.121591E0,8.572078E0,3.504420E1,6.615275E0,4.092290E1,3.176914E0,5.463211E1,1.021271E1
4.361276E0,7.121114E0,8.571246E0,3.504084E1,6.615350E0,4.092076E1,3.177604E0,5.462826E1,1.021936E1
4.394568E0,7.120831E0,8.570661E0,3.503942E1,6.615792E0,4.091951E1,3.178322E0,5.462540E1,1.022369E1
4.427860E0,7.120450E0,8.570110E0,3.503626E1,6.615468E0,4.092178E1,3.179805E0,5.462370E1,1.022685E1
4.461152E0,7.119013E0,8.570208E0,3.504071E1,6.615640E0,4.092388E1,3.177104E0,5.462292E1,1.022822E1
4.494444E0,7.118865E0,8.570132E0,3.504486E1,6.616190E0,4.092272E1,3.177648E0,5.463171E1,1.020762E1
4.527737E0,7.119947E0,8.570363E0,3.504296E1,6.615926E0,4.092230E1,3.176891E0,5.463365E1,1.021053E1
4.561029E0,7.120300E0,8.569880E0,3.504128E1,6.616130E0,4.092073E1,3.177495E0,5.462977E1,1.021617E1
4.594321E0,7.124076E0,8.569992E0,3.504197E1,6.616105E0,4.092014E1,3.177487E0,5.462871E1,1.021987E1
4.627613E0,7.126008E0,8.570695E0,3.503918E1,6.615764E0,4.091890E1,3.177939E0,5.462820E1,1.022374E1
4.660905E0,7.123566E0,8.570215E0,3.503721E1,6.614565E0,4.091915E1,3.178095E0,5.462637E1,1.022643E1
4.694198E0,7.122790E0,8.569930E0,3.503566E1,6.614747E0,4.091829E1,3.178337E0,5.462630E1,1.022877E1
4.727490E0,7.121597E0,8.569860E0,3.503599E1,6.614814E0,4.091796E1,3.178044E0,5.462645E1,1.023018E1
4.760782E0,7.121258E0,8.569535E0,3.503650E1,6.614990E0,4.091881E1,3.178753E0,5.462411E1,1.022792E1
4.794074E0,7.120375E0,8.569713E0,3.503658E1,6.615151E0,4.091999E1,3.177070E0,5.463079E1,1.021570E1
4.827366E0,7.120373E0,8.569432E0,3.503663E1,6.615497E0,4.092104E1,3.176256E0,5.463695E1,1.020632E1
4.860658E0,7.120125E0,8.569469E0,3.503849E1,6.615551E0,4.092392E1,3.175773E0,5.464257E1,1.021405E1
4.893951E0,7.120832E0,8.569551E0,3.503662E1,6.615456E0,4.092521E1,3.177368E0,5.463690E1,1.021916E1
4.927243E0,7.122922E0,8.569913E0,3.503690E1,6.615434E0,4.092270E1,3.177156E0,5.463314E1,1.022288E1
4.960535E0,7.122236E0,8.569739E0,3.503679E1,6.615632E0,4.092088E1,3.177647E0,5.463015E1,1.022575E1
4.993827E0,7.121829E0,8.569045E0,3.503590E1,6.614954E0,4.092231E1,3.179802E0,5.462908E1,1.022657E1
5.027119E0,7.121573E0,8.568243E0,3.503500E1,6.615066E0,4.092063E1,3.179706E0,5.462732E1,1.022841E1
5.060412E0,7.117595E0,8.568749E0,3.503578E1,6.613178E0,4.092082E1,3.178735E0,5.462816E1,1.022815E1
5.093704E0,7.117593E0,8.568153E0,3.503487E1,6.613270E0,4.091946E1,3.178405E0,5.462691E1,1.022883E1
5.126996E0,7.118144E0,8.567644E0,3.503396E1,6.613654E0,4.091844E1,3.178922E0,5.462615E1,1.023012E1
5.160288E0,7.116986E0,8.568142E0,3.503318E1,6.614214E0,4.091604E1,3.178332E0,5.462816E1,1.022811E1
